<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240213;095949;672.600000000;3;9591012574;S
20240213;095949;672.600000000;26;9591012575;S
20240213;095949;672.600000000;4;9591012576;S
20240213;095949;672.600000000;3;9591012577;S
20240213;095949;672.600000000;1;9591012578;S
20240213;095949;672.600000000;81;9591012579;S
20240213;095949;672.600000000;1;9591012580;S
20240213;095949;672.600000000;3;9591012581;S
20240213;095949;672.600000000;2;9591012582;S
20240213;095949;672.600000000;1;9591012583;S
20240213;095949;672.600000000;3;9591012584;S
20240213;095949;672.600000000;15;9591012585;S
20240213;095949;672.600000000;380;9591012586;S
20240213;095949;672.600000000;4;9591012587;S
20240213;095949;672.600000000;100;9591012588;S
20240213;095949;672.600000000;298;9591012589;S
20240213;095949;672.600000000;25;9591012590;S
20240213;095949;672.600000000;1;9591012591;B
20240213;095949;672.600000000;1;9591012592;B
20240213;095949;672.600000000;6;9591012593;B
20240213;095949;672.600000000;45;9591012594;S
20240213;095949;672.600000000;1;9591012595;S
20240213;095949;672.600000000;10;9591012596;S
20240213;095949;672.600000000;15;9591012597;B
20240213;095949;672.600000000;88;9591012598;B
20240213;095949;672.600000000;3;9591012599;B
20240213;095949;672.600000000;2;9591012600;B
20240213;095949;672.600000000;150;9591012601;B
20240213;095949;672.600000000;61;9591012602;B
20240213;095949;672.600000000;34;9591012603;B
20240213;095949;672.600000000;6;9591012604;B
20240213;095949;672.600000000;1;9591012605;B
20240213;095949;672.600000000;4;9591012606;B
20240213;095949;672.600000000;26;9591012607;B
20240213;095949;672.600000000;25;9591012608;B
20240213;095949;672.600000000;6;9591012609;B
20240213;095949;672.600000000;9;9591012610;B
20240213;095949;672.600000000;11;9591012611;B
20240213;095949;672.600000000;1;9591012612;B
20240213;095949;672.600000000;2;9591012613;B
20240213;095949;672.600000000;50;9591012614;B
20240213;095949;672.600000000;2;9591012615;B
20240213;095949;672.600000000;5;9591012616;B
20240213;095949;672.600000000;41;9591012617;B
20240213;095949;672.600000000;10;9591012618;B
20240213;095949;672.600000000;49;9591012619;B
20240213;095949;672.600000000;111;9591012620;B
20240213;095949;672.600000000;2;9591012621;B
20240213;095949;672.600000000;1;9591012622;B
20240213;095949;672.600000000;4;9591012623;B
20240213;095949;672.600000000;10;9591012624;B
20240213;095949;672.600000000;1;9591012625;B
20240213;095949;672.600000000;21;9591012626;B
20240213;095949;672.600000000;3;9591012627;B
20240213;095949;672.600000000;1;9591012628;B
20240213;095949;672.600000000;46;9591012629;B
20240213;095949;672.600000000;4;9591012630;B
20240213;095949;672.600000000;27;9591012631;B
20240213;095949;672.600000000;1;9591012632;B
20240213;095949;672.600000000;72;9591012633;B
20240213;095949;672.600000000;20;9591012634;B
20240213;095949;672.600000000;1;9591012635;B
20240213;095949;672.600000000;1;9591012636;B
20240213;095949;672.600000000;2;9591012637;B
20240213;095949;672.600000000;2;9591012638;B
20240213;095949;672.600000000;2;9591012639;B
20240213;095949;672.600000000;2;9591012640;B
20240213;095949;672.600000000;2;9591012641;B
20240213;095949;672.600000000;3;9591012642;B
20240213;095949;672.600000000;2;9591012643;B
20240213;095949;672.600000000;7;9591012644;B
20240213;095949;672.600000000;9;9591012645;B
20240213;095949;672.600000000;1;9591012646;B
20240213;095949;672.600000000;124;9591012647;B
20240213;095949;672.600000000;14;9591012648;S
20240213;095949;672.600000000;10;9591012649;S
20240213;095949;672.600000000;1;9591012650;S
20240213;095949;672.600000000;150;9591012651;S
20240213;095949;672.600000000;20;9591012652;S
20240213;095949;672.600000000;3;9591012653;S
20240213;095949;672.600000000;150;9591012654;S
20240213;095949;672.600000000;250;9591012655;S
20240213;095949;672.600000000;278;9591012656;S
20240213;095949;672.600000000;45;9591012657;B
20240213;095949;672.600000000;677;9591012658;B
20240213;100000;672.600000000;10;9591014826;B
20240213;100000;672.600000000;50;9591014840;B
20240213;100000;672.600000000;50;9591015002;B
20240213;100000;672.600000000;25;9591015010;B
20240213;100000;672.600000000;167;9591015106;B
20240213;100000;672.600000000;278;9591015107;B
20240213;100000;672.400000000;8;9591015168;S
20240213;100000;672.400000000;2;9591015169;S
20240213;100000;672.600000000;29;9591015191;B
20240213;100000;672.600000000;500;9591015211;B
20240213;100000;672.400000000;1;9591015247;S
20240213;100000;672.600000000;10;9591015347;B
20240213;100000;672.600000000;100;9591015579;B
20240213;100001;672.400000000;1;9591015849;S
20240213;100001;672.400000000;6;9591015921;S
20240213;100001;672.400000000;1;9591015922;S
20240213;100001;672.400000000;32;9591015923;S
20240213;100001;672.400000000;4;9591016149;S
20240213;100001;672.600000000;15;9591016212;B
20240213;100001;672.600000000;374;9591016213;B
20240213;100001;672.400000000;5;9591016333;S
20240213;100001;672.400000000;14;9591016334;S
20240213;100001;672.400000000;223;9591016335;S
20240213;100001;672.200000000;20;9591016336;S
20240213;100001;672.200000000;8;9591016337;S
20240213;100001;672.200000000;14;9591016338;S
20240213;100001;672.200000000;50;9591016339;S
20240213;100001;672.200000000;666;9591016340;S
20240213;100001;672.400000000;4;9591016380;B
20240213;100001;672.200000000;7;9591016392;S
20240213;100001;672.200000000;6;9591016393;S
20240213;100001;672.200000000;100;9591016442;S
20240213;100002;672.400000000;45;9591016615;B
20240213;100002;672.400000000;50;9591016616;B
20240213;100002;672.400000000;50;9591016623;B
20240213;100002;672.400000000;75;9591016735;B
20240213;100002;672.400000000;75;9591016736;B
20240213;100002;672.400000000;30;9591016738;B
20240213;100002;672.400000000;10;9591016739;B
20240213;100002;672.200000000;221;9591016772;S
20240213;100002;672.200000000;11;9591016773;S
20240213;100002;672.200000000;9;9591016775;S
20240213;100002;672.200000000;108;9591016776;S
20240213;100002;672.400000000;1;9591016897;B
20240213;100002;672.400000000;9;9591016898;B
20240213;100002;672.200000000;54;9591017049;S
20240213;100002;672.200000000;54;9591017050;S
20240213;100003;672.200000000;2;9591017239;S
20240213;100003;672.200000000;2;9591017240;S
20240213;100004;672.400000000;100;9591017557;B
20240213;100004;672.200000000;16;9591017668;S
20240213;100004;672.200000000;17;9591017669;S
20240213;100005;672.200000000;1;9591018086;S
20240213;100005;672.400000000;1;9591018307;B
20240213;100005;672.200000000;1;9591018339;S
20240213;100005;672.200000000;2;9591018461;S
20240213;100005;672.200000000;2;9591018555;S
20240213;100005;672.200000000;1;9591018667;S
20240213;100005;672.400000000;30;9591018721;B
20240213;100005;672.400000000;2;9591019014;B
20240213;100005;672.200000000;2;9591019053;S
20240213;100005;672.400000000;75;9591019097;B
20240213;100006;672.200000000;1;9591019328;S
20240213;100006;672.200000000;2;9591019366;S
20240213;100006;672.200000000;2;9591019370;S
20240213;100006;672.200000000;2;9591019908;S
20240213;100006;672.200000000;1;9591020050;S
20240213;100006;672.400000000;1;9591020256;B
20240213;100006;672.400000000;1;9591020258;B
20240213;100006;672.200000000;14;9591020268;S
20240213;100006;672.000000000;2;9591020496;S
20240213;100006;672.200000000;1;9591020498;B
20240213;100006;672.200000000;1;9591020500;B
20240213;100006;672.200000000;1;9591020501;B
20240213;100006;672.200000000;1;9591020526;B
20240213;100006;672.400000000;1;9591020527;B
20240213;100006;672.000000000;19;9591020598;S
20240213;100007;672.400000000;2;9591020820;B
20240213;100007;672.400000000;7;9591020821;B
20240213;100007;672.200000000;2;9591020976;S
20240213;100007;672.200000000;2;9591020979;S
20240213;100007;672.400000000;2;9591021151;B
20240213;100007;672.200000000;4;9591021365;S
20240213;100007;672.200000000;1;9591021571;S
20240213;100007;672.200000000;2;9591021572;S
20240213;100008;672.200000000;9;9591021654;S
20240213;100008;672.000000000;2;9591021774;S
20240213;100008;672.200000000;40;9591021888;B
20240213;100008;672.200000000;100;9591021976;B
20240213;100008;672.000000000;2;9591021990;S
20240213;100008;672.200000000;1;9591022168;B
20240213;100008;672.000000000;2;9591022194;S
20240213;100008;672.200000000;2;9591022282;B
20240213;100008;672.200000000;2;9591022291;S
20240213;100009;672.400000000;1;9591022450;B
20240213;100009;672.200000000;3;9591022538;S
20240213;100009;672.200000000;4;9591022698;S
20240213;100009;672.200000000;20;9591022699;S
20240213;100009;672.200000000;24;9591022700;S
20240213;100009;672.400000000;7;9591022765;B
20240213;100009;672.400000000;10;9591022910;B
20240213;100009;672.200000000;1;9591022996;S
20240213;100009;672.200000000;1;9591022997;S
20240213;100010;672.400000000;1;9591023263;B
20240213;100010;672.400000000;3;9591023354;B
20240213;100010;672.400000000;50;9591023359;B
20240213;100010;672.400000000;27;9591023360;B
20240213;100010;672.200000000;2;9591023365;S
20240213;100010;672.200000000;3;9591023366;S
20240213;100010;672.200000000;2;9591023402;S
20240213;100010;672.200000000;2;9591023414;S
20240213;100010;672.200000000;14;9591023628;S
20240213;100010;672.200000000;14;9591023629;S
20240213;100011;672.200000000;1;9591023816;S
20240213;100011;672.400000000;29;9591023853;B
20240213;100011;672.400000000;15;9591023906;B
20240213;100011;672.400000000;1;9591023926;B
20240213;100011;672.400000000;7;9591023989;B
20240213;100011;672.400000000;5;9591024011;B
20240213;100011;672.200000000;4;9591024143;S
20240213;100011;672.200000000;5;9591024145;S
20240213;100012;672.200000000;5;9591024276;S
20240213;100012;672.200000000;5;9591024277;S
20240213;100012;672.200000000;7;9591024440;S
20240213;100013;672.200000000;1;9591024541;S
20240213;100013;672.200000000;1;9591024542;S
20240213;100013;672.200000000;28;9591024554;S
20240213;100013;672.200000000;1;9591024555;S
20240213;100013;672.200000000;8;9591024556;S
20240213;100013;672.200000000;6;9591024620;S
20240213;100013;672.200000000;6;9591024621;S
20240213;100014;672.400000000;5;9591024702;B
20240213;100014;672.400000000;8;9591024760;B
20240213;100014;672.400000000;6;9591024761;B
20240213;100014;672.400000000;1;9591024762;B
20240213;100014;672.600000000;2;9591024763;B
20240213;100014;672.400000000;1;9591024797;B
20240213;100014;672.600000000;445;9591024798;B
20240213;100015;672.400000000;3;9591025062;S
20240213;100015;672.200000000;448;9591025063;S
20240213;100015;672.000000000;149;9591025064;S
20240213;100015;672.000000000;77;9591025087;S
20240213;100015;672.000000000;77;9591025088;S
20240213;100016;672.000000000;100;9591025291;S
20240213;100016;672.000000000;100;9591025293;S
20240213;100017;672.000000000;100;9591025366;S
20240213;100018;672.000000000;17;9591025514;S
20240213;100018;672.000000000;16;9591025515;S
20240213;100020;672.000000000;180;9591025925;S
20240213;100020;672.400000000;4;9591025940;B
20240213;100020;672.400000000;2;9591026041;B
20240213;100021;672.000000000;30;9591026222;S
20240213;100021;672.000000000;30;9591026223;S
20240213;100021;672.000000000;1;9591026401;S
20240213;100021;672.000000000;1;9591026402;S
20240213;100022;672.400000000;50;9591026478;B
20240213;100023;672.000000000;9;9591026731;S
20240213;100023;672.000000000;8;9591026732;S
20240213;100023;672.400000000;150;9591026983;B
20240213;100023;672.200000000;2;9591026994;S
20240213;100023;672.000000000;78;9591026995;S
20240213;100023;672.000000000;20;9591026996;S
20240213;100023;672.000000000;400;9591026997;S
20240213;100023;672.000000000;10;9591026998;S
20240213;100023;672.000000000;40;9591026999;S
20240213;100023;672.000000000;1;9591027000;S
20240213;100023;672.000000000;1;9591027001;S
20240213;100023;672.000000000;4;9591027002;S
20240213;100023;672.000000000;2;9591027003;S
20240213;100023;672.000000000;1;9591027004;S
20240213;100023;672.000000000;30;9591027005;S
20240213;100023;672.000000000;30;9591027006;S
20240213;100023;672.000000000;5;9591027007;S
20240213;100023;672.000000000;3;9591027008;S
20240213;100023;672.000000000;30;9591027009;S
20240213;100023;672.000000000;2600;9591027010;S
20240213;100023;672.000000000;506;9591027011;S
20240213;100023;672.000000000;150;9591027012;S
20240213;100023;672.000000000;30;9591027013;S
20240213;100023;672.000000000;500;9591027014;S
20240213;100023;671.800000000;2;9591027015;S
20240213;100023;671.800000000;2;9591027016;S
20240213;100023;671.800000000;3;9591027017;S
20240213;100023;671.800000000;1;9591027018;S
20240213;100023;671.800000000;1;9591027019;S
20240213;100023;671.800000000;1;9591027020;S
20240213;100023;671.800000000;3;9591027021;S
20240213;100023;671.800000000;5;9591027022;S
20240213;100023;671.800000000;200;9591027023;S
20240213;100023;671.800000000;30;9591027024;S
20240213;100023;671.800000000;59;9591027025;S
20240213;100023;671.800000000;3;9591027026;S
20240213;100023;671.800000000;100;9591027027;S
20240213;100023;671.800000000;1;9591027028;S
20240213;100023;671.800000000;55;9591027029;S
20240213;100023;671.800000000;75;9591027030;S
20240213;100023;671.800000000;1;9591027031;S
20240213;100023;671.800000000;2;9591027032;S
20240213;100023;671.800000000;100;9591027033;S
20240213;100023;671.800000000;4;9591027034;S
20240213;100023;671.800000000;5;9591027035;S
20240213;100023;671.800000000;50;9591027036;S
20240213;100023;671.800000000;60;9591027037;S
20240213;100023;671.800000000;77;9591027038;S
20240213;100023;671.800000000;1;9591027039;S
20240213;100023;671.800000000;30;9591027040;S
20240213;100023;671.800000000;1;9591027041;S
20240213;100023;671.800000000;500;9591027042;S
20240213;100023;671.800000000;50;9591027043;S
20240213;100023;671.800000000;15;9591027044;S
20240213;100023;671.800000000;300;9591027045;S
20240213;100023;671.800000000;100;9591027046;S
20240213;100023;671.800000000;14;9591027047;S
20240213;100023;671.600000000;22;9591027048;S
20240213;100023;671.600000000;1;9591027049;S
20240213;100023;671.600000000;30;9591027050;S
20240213;100023;671.600000000;1;9591027051;S
20240213;100023;671.600000000;5;9591027052;S
20240213;100023;671.600000000;10;9591027053;S
20240213;100023;671.600000000;5;9591027054;S
20240213;100023;671.600000000;3;9591027055;S
20240213;100023;671.600000000;1;9591027056;S
20240213;100023;671.600000000;25;9591027057;S
20240213;100023;671.600000000;100;9591027058;S
20240213;100023;671.400000000;1;9591027059;S
20240213;100023;671.400000000;100;9591027060;S
20240213;100023;671.200000000;1;9591027061;S
20240213;100023;671.200000000;500;9591027062;S
20240213;100023;671.200000000;100;9591027063;S
20240213;100023;671.200000000;100;9591027064;S
20240213;100023;671.200000000;320;9591027065;S
20240213;100023;671.000000000;150;9591027066;S
20240213;100023;671.000000000;200;9591027067;S
20240213;100023;671.000000000;8;9591027068;S
20240213;100023;671.000000000;5;9591027069;S
20240213;100023;671.000000000;2;9591027070;S
20240213;100023;671.000000000;10;9591027071;S
20240213;100023;671.000000000;1;9591027072;S
20240213;100023;671.000000000;2;9591027073;S
20240213;100023;671.000000000;6;9591027074;S
20240213;100023;671.000000000;90;9591027075;S
20240213;100023;671.000000000;2;9591027076;S
20240213;100023;671.000000000;149;9591027077;S
20240213;100023;671.000000000;1756;9591027078;S
20240213;100024;672.200000000;14;9591027103;B
20240213;100024;672.000000000;100;9591027187;S
20240213;100024;672.200000000;1;9591027224;B
20240213;100024;672.000000000;25;9591027253;S
20240213;100024;672.000000000;25;9591027254;S
20240213;100024;672.000000000;1;9591027284;S
20240213;100025;672.000000000;25;9591027344;S
20240213;100025;672.000000000;1;9591027512;S
20240213;100025;672.000000000;1323;9591027530;S
20240213;100025;671.600000000;40;9591027531;B
20240213;100025;671.600000000;10;9591027532;B
20240213;100025;671.400000000;362;9591027533;S
20240213;100025;671.600000000;50;9591027534;B
20240213;100025;671.600000000;10;9591027535;B
20240213;100025;671.600000000;20;9591027536;B
20240213;100025;671.400000000;38;9591027537;S
20240213;100025;671.400000000;30;9591027538;B
20240213;100025;671.200000000;206;9591027539;S
20240213;100025;671.200000000;50;9591027540;S
20240213;100025;671.000000000;1232;9591027541;S
20240213;100026;671.000000000;500;9591027690;S
20240213;100026;671.000000000;4;9591027701;S
20240213;100026;671.000000000;5;9591027702;S
20240213;100026;671.200000000;100;9591027706;S
20240213;100026;671.800000000;75;9591027740;B
20240213;100026;671.200000000;25;9591027775;S
20240213;100027;671.800000000;84;9591027790;B
20240213;100027;671.800000000;149;9591027791;B
20240213;100027;671.800000000;67;9591027792;B
20240213;100027;671.200000000;83;9591027872;S
20240213;100027;671.800000000;282;9591027885;B
20240213;100027;671.800000000;149;9591027886;B
20240213;100027;671.800000000;56;9591027887;B
20240213;100027;672.000000000;13;9591027888;B
20240213;100028;671.600000000;11;9591027942;B
20240213;100028;671.400000000;1;9591028004;S
20240213;100028;671.000000000;43;9591028006;S
20240213;100029;671.000000000;88;9591028498;S
20240213;100029;671.000000000;88;9591028499;S
20240213;100030;671.200000000;300;9591028799;S
20240213;100031;671.000000000;50;9591029090;S
20240213;100031;671.000000000;50;9591029092;S
20240213;100031;671.600000000;1;9591029181;B
20240213;100032;671.000000000;963;9591029436;S
20240213;100033;671.000000000;1;9591029499;S
20240213;100033;671.000000000;277;9591029549;S
20240213;100033;671.000000000;141;9591029611;S
20240213;100033;671.000000000;1;9591029612;S
20240213;100033;671.000000000;5;9591029613;S
20240213;100033;671.000000000;4;9591029614;S
20240213;100033;671.000000000;10;9591029615;S
20240213;100033;671.000000000;160;9591029616;S
20240213;100034;671.600000000;50;9591029792;B
20240213;100035;671.200000000;54;9591029939;B
20240213;100035;671.600000000;249;9591029940;B
20240213;100035;671.600000000;55;9591029941;B
20240213;100035;671.800000000;42;9591029942;B
20240213;100035;671.800000000;20;9591029988;B
20240213;100035;671.600000000;48;9591030036;B
20240213;100035;671.800000000;87;9591030037;B
20240213;100035;671.800000000;13;9591030038;B
20240213;100035;671.200000000;49;9591030040;S
20240213;100035;671.800000000;44;9591030130;B
20240213;100036;671.000000000;20;9591030293;S
20240213;100036;671.000000000;20;9591030294;S
20240213;100037;671.000000000;6;9591030367;S
20240213;100037;671.600000000;1;9591030389;B
20240213;100037;671.000000000;8;9591030400;S
20240213;100037;671.000000000;6;9591030401;S
20240213;100037;671.200000000;399;9591030406;S
20240213;100037;671.000000000;69;9591030407;S
20240213;100037;671.800000000;92;9591030412;B
20240213;100037;671.800000000;56;9591030413;B
20240213;100038;671.400000000;1;9591030505;B
20240213;100038;671.800000000;13;9591030506;B
20240213;100038;671.000000000;1;9591030513;S
20240213;100038;671.000000000;1;9591030624;S
20240213;100038;671.200000000;105;9591030709;B
20240213;100038;671.600000000;1;9591030710;B
20240213;100038;671.600000000;43;9591030711;B
20240213;100039;671.000000000;62;9591030772;S
20240213;100039;671.000000000;61;9591030849;S
20240213;100040;671.000000000;11;9591031120;S
20240213;100040;671.000000000;10;9591031122;S
20240213;100042;671.200000000;97;9591031604;S
20240213;100042;671.200000000;16;9591031656;S
20240213;100042;671.200000000;16;9591031657;S
20240213;100042;671.200000000;10;9591031665;S
20240213;100042;671.400000000;78;9591031702;B
20240213;100043;671.200000000;1;9591031753;S
20240213;100043;671.200000000;2;9591031754;S
20240213;100043;671.400000000;149;9591031849;B
20240213;100043;671.400000000;13;9591031850;B
20240213;100043;671.400000000;13;9591031851;S
20240213;100043;671.400000000;6;9591031926;S
20240213;100044;671.400000000;19;9591032048;S
20240213;100044;671.400000000;6;9591032049;S
20240213;100044;671.400000000;25;9591032050;S
20240213;100045;671.400000000;1;9591032193;S
20240213;100045;671.400000000;1;9591032194;S
20240213;100046;671.400000000;1;9591032389;S
20240213;100050;671.400000000;50;9591033103;S
20240213;100050;671.400000000;200;9591033224;S
20240213;100050;671.400000000;200;9591033225;S
20240213;100050;671.400000000;50;9591033226;S
20240213;100050;671.400000000;50;9591033227;S
20240213;100051;671.400000000;8;9591033312;S
20240213;100051;671.400000000;9;9591033313;S
20240213;100051;671.400000000;1;9591033358;S
20240213;100052;671.400000000;83;9591033561;S
20240213;100052;671.400000000;84;9591033565;S
20240213;100052;671.600000000;1;9591033601;B
20240213;100052;671.400000000;15;9591033674;S
20240213;100052;671.400000000;39;9591033675;S
20240213;100052;671.400000000;200;9591033676;S
20240213;100052;671.200000000;746;9591033677;S
20240213;100052;671.400000000;1;9591033709;S
